date,observers,plot.code,burn,severity,line.cover.cm,angle.degrees,shape,num.pieces,diameter1.width.cm,diameter2.height.cm,decay.class
7/5/2016,EK,DH37,D,FH,32,0,R,1,32,NA,2
7/5/2016,EK,DH37,D,FH,10,0,R,1,10,NA,2
7/5/2016,EK,DH37,D,FH,40,0,O,1,20,2,5
7/5/2016,EK,DH37,D,FH,23,0,R,1,15,NA,2
7/5/2016,EK,DH37,D,FH,20,0,R,1,19,NA,2
7/5/2016,EK,DH37,D,FH,17,30,R,1,17,NA,2
7/5/2016,EK,DH38,D,FH,38,0,R,1,32,NA,2
7/5/2016,EK,DH38,D,FH,25,0,R,1,12,NA,3
7/5/2016,EK,DH38,D,FH,34,0,S,1,15,7,4
7/8/2016,SN,DL51,D,FL,280,0,R,1,30,NA,2
7/8/2016,SN,DM53,D,FM,170,30,A,5,170,20,1
7/8/2016,SN,DM53,D,FM,10,0,R,1,10,NA,1
7/8/2016,SN,DM53,D,FM,10,0,R,1,10,NA,2
7/8/2016,SN,DM53,D,FM,100,0,R,1,21,NA,2
7/8/2016,SN,DL40,D,FL,12,0,R,1,11,NA,2
7/8/2016,SN,DL40,D,FL,17,0,R,1,15,NA,2
7/8/2016,SN,DL40,D,FL,33,30,R,1,13,NA,2
7/8/2016,SN,DL40,D,FL,10,0,R,1,10,NA,1
7/8/2016,SN,DH20,D,FH,30,0,R,1,27,NA,3
7/8/2016,SN,DH20,D,FH,20,0,R,1,14,NA,3
7/8/2016,SN,DH20,D,FH,15,0,R,1,15,NA,4
7/8/2016,SN,DH20,D,FH,30,0,R,1,20,NA,4
7/8/2016,SN,DH20,D,FH,21,0,O,1,21,4,5
7/8/2016,SN,DM102,D,FM,29,0,R,1,16,NA,3
7/8/2016,SN,DM102,D,FM,17,0,R,1,10,NA,2
7/8/2016,SN,DM19,D,FM,15,0,R,1,10,NA,2
7/8/2016,SN,DM19,D,FM,35,0,R,1,35,NA,3
7/8/2016,SN,DM19,D,FM,31,0,R,1,18,NA,3
7/8/2016,SN,DM22,D,FM,30,0,R,1,30,NA,4
7/8/2016,SN,DM22,D,FM,13,0,R,1,10,NA,2
7/8/2016,SN,DM22,D,FM,24,0,R,1,24,NA,2
7/8/2016,SN,DM22,D,FM,10,0,R,1,10,NA,1
7/8/2016,SN,DM22,D,FM,19,0,R,1,10,NA,2
7/8/2016,SN,DM22,D,FM,14,0,R,1,14,NA,2
7/8/2016,SN,DL21,D,FL,20,0,R,1,20,NA,1
7/8/2016,SN,DL21,D,FL,15,0,R,1,14,NA,1
7/8/2016,SN,DL21,D,FL,50,0,R,1,50,NA,1
7/13/2016,SN,DL106,D,FL,24,0,R,1,16,NA,1
7/13/2016,SN,DL106,D,FL,30,0,R,1,18,NA,1
7/13/2016,SN,DL106,D,FL,10,0,R,1,10,NA,2
7/13/2016,SN,DL106,D,FL,17,0,R,1,15,NA,3
7/13/2016,SN,DL106,D,FL,27,0,R,1,17,NA,1
7/13/2016,SN,DL106,D,FL,50,0,R,1,20,NA,2
7/13/2016,SN,DL106,D,FL,40,0,R,1,40,NA,2
7/13/2016,SN,DM101,D,FM,50,0,R,1,20,NA,1
7/13/2016,SN,DM101,D,FM,47,0,R,1,22,NA,1
7/13/2016,SN,DM101,D,FM,10,0,R,1,10,NA,2
