plot.code,CoverType,BurnSeverity,YearsSinceFire,burn,CWD_volume_sum,DBH_mean,N_trees,Severity_Num
424,G,U,27,FR,0,0,0,1
43,F,L,27,FR,0,24.618181818181817,11,2
44,F,L,27,FR,6150,0,0,2
45,F,L,27,FR,0,21.854545454545455,33,2
46,F,L,27,FR,0,40.3,1,2
50,G,U,27,FR,0,0,0,1
51,G,U,27,FR,0,0,0,1
52,G,U,27,FR,0,0,0,1
53,G,U,27,FR,0,0,0,1
54,G,U,27,FR,0,0,0,1
61,F,M,27,FR,10980,0,0,3
62,F,M,27,FR,8658,4,1,3
63,F,M,27,FR,39120,0,0,3
64,F,M,27,FR,4356,3.1,1,3
65,F,M,27,FR,19658,0,0,3
66,F,M,27,FR,216000,0,0,3
DH20,F,H,10,D,1764,4.7,1,4
DH24,F,H,10,D,15600,0,0,4
DH26,F,H,10,D,578,0,0,4
DH28,F,H,10,D,2700,0,0,4
DH29,F,H,10,D,0,3.45,4,4
DH37,F,H,10,D,1600,2.8,1,4
DH38,F,H,10,D,3570,0,0,4
DH42,F,H,10,D,0,0,0,4
DH46,F,H,10,D,0,0,0,4
DH47,F,H,10,D,0,2.8473684210526318,19,4
DH49,F,H,10,D,115423,0,0,4
DH54,D,H,10,D,0,0,0,4
DH54,F,H,10,D,0,0,0,4
DH55,F,H,10,D,136900,0,0,4
DH56,F,H,10,D,0,0,0,4
DH57,F,H,10,D,585,0,0,4
DL105,F,L,10,D,0,44.4,2,2
DL106,F,L,10,D,0,0,0,2
DL107,F,L,10,D,0,34.3,4,2
DL108,F,L,10,D,0,46.6,1,2
DL109,F,L,10,D,0,31.576923076923077,13,2
DL16,F,L,10,D,3600,41.388888888888886,9,2
DL21,F,L,10,D,0,36.53333333333333,12,2
DL23,F,L,10,D,0,29.973333333333333,15,2
DL40,F,L,10,D,0,23.416666666666668,18,2
DL41,F,L,10,D,6000,0,0,2
DL43,F,L,10,D,0,39.44615384615385,13,2
DL44,F,L,10,D,0,0,0,2
DL50,F,L,10,D,0,28.34,10,2
DL51,F,L,10,D,0,38.12307692307692,13,2
DL59,F,L,10,D,0,27.09285714285714,14,2
DM100,F,M,10,D,0,0,0,3
DM101,F,M,10,D,0,28.6,1,3
DM102,F,M,10,D,0,0,0,3
DM103,F,M,10,D,468,2.95,8,3
DM104,F,M,10,D,0,0,0,3
DM17,F,M,10,D,0,18.580000000000002,5,3
DM17,F,U,10,D,7800,0,0,1
DM18,F,M,10,D,18000,0,0,3
DM19,F,M,10,D,0,3.6,11,3
DM22,F,M,10,D,0,0,0,3
DM30,F,M,10,D,0,0,0,3
DM39,F,M,10,D,0,0,0,3
DM45,F,M,10,D,0,0,0,3
DM48,F,M,10,D,0,3.475,4,3
DM52,F,M,10,D,0,0,0,3
DM53,F,M,10,D,578000,21.96,5,3
DU1,F,U,10,D,0,20.632394366197182,71,1
DU10,F,U,10,D,23865,7.799290780141844,282,1
DU11,F,U,10,D,0,17.107462686567164,67,1
DU12,F,U,10,D,15600,9.16304347826087,138,1
DU13,F,U,10,D,0,8.917341040462428,173,1
DU14,F,U,10,D,0,24.694736842105264,19,1
DU15,F,U,10,D,0,6.181893004115226,243,1
DU2,F,U,10,D,0,15.048484848484849,66,1
DU3,F,U,10,D,11797,8.631818181818183,154,1
DU4,F,U,10,D,0,31.63606557377049,61,1
DU5,F,U,10,D,588,20.308333333333334,24,1
DU6,F,U,10,D,0,12.537704918032787,61,1
DU7,F,U,10,D,1690,37.92307692307692,13,1
DU8,F,U,10,D,0,7.275107296137339,233,1
DU9,F,U,10,D,3080,14.817948717948719,78,1
